Team,G,MP,FG.,Dist.,X..of.2P,X..of.0.3,X..of.3.10,X..of.10.16,X..of.16.3P,X..of.3P,X2P..,X0.3..,X3.10..,X10.16..,X16.3P..,X3P..,X2P..Ast.d,Dunk..FGA,Dunk.Md.,X3P..Ast.d,Corner..3PA,X3P.,Heaves.Att.,Heaves.Md.,year
Atlanta Hawks,82,19730,0.431,11.4,0.86,0.258,0.19,0.214,0.198,0.14,0.443,0.612,0.32,0.387,0.403,0.357,0.507,0.037,224,0.811,0.228,0.371,10,1,2001
Boston Celtics,82,19830,0.428,12.5,0.748,0.287,0.161,0.121,0.18,0.252,0.45,0.571,0.344,0.385,0.393,0.363,0.532,0.019,104,0.926,0.261,0.39,12,0,2001
Charlotte Hornets,82,19880,0.431,12.2,0.849,0.27,0.134,0.18,0.265,0.151,0.446,0.595,0.386,0.363,0.381,0.346,0.65,0.038,204,0.885,0.178,0.406,9,1,2001
Chicago Bulls,82,19855,0.424,12,0.852,0.275,0.151,0.175,0.251,0.148,0.438,0.569,0.36,0.39,0.375,0.346,0.634,0.033,176,0.894,0.132,0.36,5,0,2001
Cleveland Cavaliers,82,19830,0.442,10.9,0.899,0.28,0.201,0.19,0.228,0.101,0.455,0.622,0.335,0.41,0.392,0.334,0.564,0.034,197,0.914,0.338,0.359,22,1,2001
Dallas Mavericks,82,19805,0.459,12.3,0.798,0.257,0.165,0.166,0.21,0.202,0.479,0.656,0.347,0.413,0.419,0.381,0.513,0.031,192,0.816,0.234,0.355,14,0,2001
Denver Nuggets,82,19780,0.433,12.3,0.79,0.295,0.137,0.138,0.221,0.21,0.454,0.615,0.357,0.366,0.354,0.355,0.62,0.048,288,0.861,0.295,0.38,5,0,2001
Detroit Pistons,82,19855,0.424,12.2,0.838,0.295,0.109,0.15,0.284,0.162,0.439,0.571,0.319,0.35,0.394,0.35,0.513,0.036,226,0.848,0.277,0.377,5,0,2001
Golden State Warriors,82,19780,0.409,11.5,0.866,0.24,0.226,0.159,0.241,0.134,0.427,0.653,0.313,0.336,0.371,0.293,0.588,0.024,149,0.809,0.197,0.337,8,1,2001
Houston Rockets,82,19830,0.453,12.2,0.783,0.306,0.141,0.133,0.204,0.217,0.48,0.636,0.356,0.398,0.385,0.357,0.498,0.04,233,0.792,0.254,0.391,15,2,2001
Indiana Pacers,82,19980,0.44,12.6,0.82,0.221,0.201,0.157,0.241,0.18,0.461,0.621,0.374,0.423,0.412,0.342,0.58,0.037,222,0.889,0.329,0.367,7,0,2001
Los Angeles Clippers,82,20030,0.448,11.3,0.836,0.273,0.226,0.152,0.184,0.164,0.469,0.637,0.41,0.353,0.391,0.339,0.505,0.043,242,0.847,0.155,0.364,4,0,2001
Los Angeles Lakers,82,19905,0.465,11.9,0.809,0.285,0.186,0.137,0.201,0.191,0.494,0.671,0.382,0.402,0.407,0.344,0.565,0.055,350,0.866,0.17,0.378,12,0,2001
Miami Heat,82,19880,0.43,13,0.779,0.25,0.149,0.146,0.233,0.221,0.455,0.582,0.376,0.389,0.409,0.345,0.56,0.029,152,0.812,0.21,0.379,14,0,2001
Milwaukee Bucks,82,19780,0.43,13.2,0.782,0.224,0.121,0.258,0.179,0.218,0.48,0.596,0.413,0.454,0.415,0.379,0.529,0.033,200,0.879,0.274,0.411,15,3,2001
Minnesota Timberwolves,82,19830,0.458,12.5,0.869,0.236,0.164,0.155,0.315,0.131,0.473,0.628,0.387,0.403,0.438,0.357,0.637,0.028,177,0.882,0.262,0.398,9,0,2001
New Jersey Nets,82,19730,0.425,11.6,0.835,0.322,0.137,0.132,0.243,0.165,0.443,0.579,0.366,0.315,0.374,0.333,0.543,0.039,219,0.798,0.199,0.333,11,1,2001
New York Knicks,82,19905,0.444,11.9,0.82,0.27,0.163,0.184,0.203,0.18,0.465,0.594,0.395,0.388,0.42,0.351,0.506,0.022,117,0.826,0.227,0.415,9,0,2001
