Team,Season,Team Mapped
Toronto Raptors,2005,Toronto Raptors
Utah Jazz,2005,Utah Jazz
Washington Wizards,2005,Washington Wizards
Atlanta Hawks,2006,Atlanta Hawks
Boston Celtics,2006,Boston Celtics
Charlotte Bobcats,2006,Charlotte Hornets
Chicago Bulls,2006,Chicago Bulls
Cleveland Cavaliers,2006,Cleveland Cavaliers
Dallas Mavericks,2006,Dallas Mavericks
Denver Nuggets,2006,Denver Nuggets
Detroit Pistons,2006,Detroit Pistons
Golden State Warriors,2006,Golden State Warriors
Houston Rockets,2006,Houston Rockets
Indiana Pacers,2006,Indiana Pacers
Los Angeles Clippers,2006,Los Angeles Clippers
Los Angeles Lakers,2006,Los Angeles Lakers
Memphis Grizzlies,2006,Memphis Grizzlies
Miami Heat,2006,Miami Heat
Milwaukee Bucks,2006,Milwaukee Bucks
Minnesota Timberwolves,2006,Minnesota Timberwolves
New Jersey Nets,2006,Brooklyn Nets
New Orleans/Oklahoma City Hornets,2006,New Orleans Pelicans
New York Knicks,2006,New York Knicks
Orlando Magic,2006,Orlando Magic
Philadelphia 76ers,2006,Philadelphia 76ers
Phoenix Suns,2006,Phoenix Suns
Portland Trail Blazers,2006,Portland Trail Blazers
Sacramento Kings,2006,Sacramento Kings
San Antonio Spurs,2006,San Antonio Spurs
Seattle SuperSonics,2006,Oklahoma City Thunder
Toronto Raptors,2006,Toronto Raptors
Utah Jazz,2006,Utah Jazz
Washington Wizards,2006,Washington Wizards
Atlanta Hawks,2007,Atlanta Hawks
Boston Celtics,2007,Boston Celtics
Charlotte Bobcats,2007,Charlotte Hornets
Chicago Bulls,2007,Chicago Bulls
Cleveland Cavaliers,2007,Cleveland Cavaliers
Dallas Mavericks,2007,Dallas Mavericks
Denver Nuggets,2007,Denver Nuggets
Detroit Pistons,2007,Detroit Pistons
Golden State Warriors,2007,Golden State Warriors
Houston Rockets,2007,Houston Rockets
Indiana Pacers,2007,Indiana Pacers
Los Angeles Clippers,2007,Los Angeles Clippers
Los Angeles Lakers,2007,Los Angeles Lakers
Memphis Grizzlies,2007,Memphis Grizzlies
Miami Heat,2007,Miami Heat
Milwaukee Bucks,2007,Milwaukee Bucks
Minnesota Timberwolves,2007,Minnesota Timberwolves
New Jersey Nets,2007,Brooklyn Nets
New Orleans/Oklahoma City Hornets,2007,New Orleans Pelicans
New York Knicks,2007,New York Knicks
Orlando Magic,2007,Orlando Magic
Philadelphia 76ers,2007,Philadelphia 76ers
Phoenix Suns,2007,Phoenix Suns
Portland Trail Blazers,2007,Portland Trail Blazers
Sacramento Kings,2007,Sacramento Kings
San Antonio Spurs,2007,San Antonio Spurs
Seattle SuperSonics,2007,Oklahoma City Thunder
Toronto Raptors,2007,Toronto Raptors
Utah Jazz,2007,Utah Jazz
Washington Wizards,2007,Washington Wizards
Atlanta Hawks,2008,Atlanta Hawks
Boston Celtics,2008,Boston Celtics
Charlotte Bobcats,2008,Charlotte Hornets
Chicago Bulls,2008,Chicago Bulls
Cleveland Cavaliers,2008,Cleveland Cavaliers
Dallas Mavericks,2008,Dallas Mavericks
Denver Nuggets,2008,Denver Nuggets
Detroit Pistons,2008,Detroit Pistons
Golden State Warriors,2008,Golden State Warriors
Houston Rockets,2008,Houston Rockets
Indiana Pacers,2008,Indiana Pacers
Los Angeles Clippers,2008,Los Angeles Clippers
Los Angeles Lakers,2008,Los Angeles Lakers
Memphis Grizzlies,2008,Memphis Grizzlies
Miami Heat,2008,Miami Heat
Milwaukee Bucks,2008,Milwaukee Bucks
Minnesota Timberwolves,2008,Minnesota Timberwolves
New Jersey Nets,2008,Brooklyn Nets
New Orleans Hornets,2008,New Orleans Pelicans
New York Knicks,2008,New York Knicks
Orlando Magic,2008,Orlando Magic
Philadelphia 76ers,2008,Philadelphia 76ers
Phoenix Suns,2008,Phoenix Suns
Portland Trail Blazers,2008,Portland Trail Blazers
Sacramento Kings,2008,Sacramento Kings
San Antonio Spurs,2008,San Antonio Spurs
Seattle SuperSonics,2008,Oklahoma City Thunder
Toronto Raptors,2008,Toronto Raptors
Utah Jazz,2008,Utah Jazz
Washington Wizards,2008,Washington Wizards
Atlanta Hawks,2009,Atlanta Hawks
Boston Celtics,2009,Boston Celtics
Charlotte Bobcats,2009,Charlotte Hornets
Chicago Bulls,2009,Chicago Bulls
Cleveland Cavaliers,2009,Cleveland Cavaliers
Dallas Mavericks,2009,Dallas Mavericks
Denver Nuggets,2009,Denver Nuggets
Detroit Pistons,2009,Detroit Pistons
Golden State Warriors,2009,Golden State Warriors
Houston Rockets,2009,Houston Rockets
Indiana Pacers,2009,Indiana Pacers
Los Angeles Clippers,2009,Los Angeles Clippers
Los Angeles Lakers,2009,Los Angeles Lakers
Memphis Grizzlies,2009,Memphis Grizzlies
Miami Heat,2009,Miami Heat
Milwaukee Bucks,2009,Milwaukee Bucks
Minnesota Timberwolves,2009,Minnesota Timberwolves
New Jersey Nets,2009,Brooklyn Nets
New Orleans Hornets,2009,New Orleans Pelicans
New York Knicks,2009,New York Knicks
Oklahoma City Thunder,2009,Oklahoma City Thunder
Orlando Magic,2009,Orlando Magic
Philadelphia 76ers,2009,Philadelphia 76ers
Phoenix Suns,2009,Phoenix Suns
Portland Trail Blazers,2009,Portland Trail Blazers
Sacramento Kings,2009,Sacramento Kings
San Antonio Spurs,2009,San Antonio Spurs
Toronto Raptors,2009,Toronto Raptors
Utah Jazz,2009,Utah Jazz
Washington Wizards,2009,Washington Wizards
Atlanta Hawks,2010,Atlanta Hawks
Boston Celtics,2010,Boston Celtics
Charlotte Bobcats,2010,Charlotte Hornets
Chicago Bulls,2010,Chicago Bulls
Cleveland Cavaliers,2010,Cleveland Cavaliers
Dallas Mavericks,2010,Dallas Mavericks
Denver Nuggets,2010,Denver Nuggets
Detroit Pistons,2010,Detroit Pistons
Golden State Warriors,2010,Golden State Warriors
Houston Rockets,2010,Houston Rockets
Indiana Pacers,2010,Indiana Pacers
Los Angeles Clippers,2010,Los Angeles Clippers
Los Angeles Lakers,2010,Los Angeles Lakers
Memphis Grizzlies,2010,Memphis Grizzlies
Miami Heat,2010,Miami Heat
Milwaukee Bucks,2010,Milwaukee Bucks
Minnesota Timberwolves,2010,Minnesota Timberwolves
New Jersey Nets,2010,Brooklyn Nets
New Orleans Hornets,2010,New Orleans Pelicans
New York Knicks,2010,New York Knicks
Oklahoma City Thunder,2010,Oklahoma City Thunder
Orlando Magic,2010,Orlando Magic
Philadelphia 76ers,2010,Philadelphia 76ers
Phoenix Suns,2010,Phoenix Suns
Portland Trail Blazers,2010,Portland Trail Blazers
Sacramento Kings,2010,Sacramento Kings
San Antonio Spurs,2010,San Antonio Spurs
Toronto Raptors,2010,Toronto Raptors
Utah Jazz,2010,Utah Jazz
Washington Wizards,2010,Washington Wizards
Atlanta Hawks,2011,Atlanta Hawks
Boston Celtics,2011,Boston Celtics
Charlotte Bobcats,2011,Charlotte Hornets
Chicago Bulls,2011,Chicago Bulls
Cleveland Cavaliers,2011,Cleveland Cavaliers
Dallas Mavericks,2011,Dallas Mavericks
Denver Nuggets,2011,Denver Nuggets
Detroit Pistons,2011,Detroit Pistons
Golden State Warriors,2011,Golden State Warriors
Houston Rockets,2011,Houston Rockets
Indiana Pacers,2011,Indiana Pacers
Los Angeles Clippers,2011,Los Angeles Clippers
Los Angeles Lakers,2011,Los Angeles Lakers
Memphis Grizzlies,2011,Memphis Grizzlies
Miami Heat,2011,Miami Heat
Milwaukee Bucks,2011,Milwaukee Bucks
Minnesota Timberwolves,2011,Minnesota Timberwolves
New Jersey Nets,2011,Brooklyn Nets
New Orleans Hornets,2011,New Orleans Pelicans
New York Knicks,2011,New York Knicks
Oklahoma City Thunder,2011,Oklahoma City Thunder
Orlando Magic,2011,Orlando Magic
Philadelphia 76ers,2011,Philadelphia 76ers
Phoenix Suns,2011,Phoenix Suns
Portland Trail Blazers,2011,Portland Trail Blazers
Sacramento Kings,2011,Sacramento Kings
San Antonio Spurs,2011,San Antonio Spurs
Toronto Raptors,2011,Toronto Raptors
Utah Jazz,2011,Utah Jazz
Washington Wizards,2011,Washington Wizards
Atlanta Hawks,2012,Atlanta Hawks
Boston Celtics,2012,Boston Celtics
Charlotte Bobcats,2012,Charlotte Hornets
Chicago Bulls,2012,Chicago Bulls
Cleveland Cavaliers,2012,Cleveland Cavaliers
Dallas Mavericks,2012,Dallas Mavericks
Denver Nuggets,2012,Denver Nuggets
Detroit Pistons,2012,Detroit Pistons
Golden State Warriors,2012,Golden State Warriors
Houston Rockets,2012,Houston Rockets
Indiana Pacers,2012,Indiana Pacers
Los Angeles Clippers,2012,Los Angeles Clippers
Los Angeles Lakers,2012,Los Angeles Lakers
Memphis Grizzlies,2012,Memphis Grizzlies
Miami Heat,2012,Miami Heat
Milwaukee Bucks,2012,Milwaukee Bucks
Minnesota Timberwolves,2012,Minnesota Timberwolves
New Jersey Nets,2012,Brooklyn Nets
New Orleans Hornets,2012,New Orleans Pelicans
New York Knicks,2012,New York Knicks
Oklahoma City Thunder,2012,Oklahoma City Thunder
Orlando Magic,2012,Orlando Magic
Philadelphia 76ers,2012,Philadelphia 76ers
Phoenix Suns,2012,Phoenix Suns
Portland Trail Blazers,2012,Portland Trail Blazers
Sacramento Kings,2012,Sacramento Kings
San Antonio Spurs,2012,San Antonio Spurs
Toronto Raptors,2012,Toronto Raptors
Utah Jazz,2012,Utah Jazz
Washington Wizards,2012,Washington Wizards
Atlanta Hawks,2013,Atlanta Hawks
Boston Celtics,2013,Boston Celtics
Brooklyn Nets,2013,Brooklyn Nets
Charlotte Bobcats,2013,Charlotte Hornets
Chicago Bulls,2013,Chicago Bulls
Cleveland Cavaliers,2013,Cleveland Cavaliers
Dallas Mavericks,2013,Dallas Mavericks
Denver Nuggets,2013,Denver Nuggets
Detroit Pistons,2013,Detroit Pistons
Golden State Warriors,2013,Golden State Warriors
Houston Rockets,2013,Houston Rockets
Indiana Pacers,2013,Indiana Pacers
Los Angeles Clippers,2013,Los Angeles Clippers
Los Angeles Lakers,2013,Los Angeles Lakers
Memphis Grizzlies,2013,Memphis Grizzlies
Miami Heat,2013,Miami Heat
Milwaukee Bucks,2013,Milwaukee Bucks
Minnesota Timberwolves,2013,Minnesota Timberwolves
New Orleans Hornets,2013,New Orleans Pelicans
New York Knicks,2013,New York Knicks
Oklahoma City Thunder,2013,Oklahoma City Thunder
Orlando Magic,2013,Orlando Magic
Philadelphia 76ers,2013,Philadelphia 76ers
Phoenix Suns,2013,Phoenix Suns
Portland Trail Blazers,2013,Portland Trail Blazers
Sacramento Kings,2013,Sacramento Kings
San Antonio Spurs,2013,San Antonio Spurs
Toronto Raptors,2013,Toronto Raptors
Utah Jazz,2013,Utah Jazz
Washington Wizards,2013,Washington Wizards
Atlanta Hawks,2014,Atlanta Hawks
Boston Celtics,2014,Boston Celtics
Brooklyn Nets,2014,Brooklyn Nets
Charlotte Bobcats,2014,Charlotte Hornets
Chicago Bulls,2014,Chicago Bulls
Cleveland Cavaliers,2014,Cleveland Cavaliers
Dallas Mavericks,2014,Dallas Mavericks
Denver Nuggets,2014,Denver Nuggets
Detroit Pistons,2014,Detroit Pistons
Golden State Warriors,2014,Golden State Warriors
Houston Rockets,2014,Houston Rockets
Indiana Pacers,2014,Indiana Pacers
Los Angeles Clippers,2014,Los Angeles Clippers
Los Angeles Lakers,2014,Los Angeles Lakers
Memphis Grizzlies,2014,Memphis Grizzlies
