Team,year,Distance,Frequency
Atlanta Hawks,2008,3P Top,0.12375
Atlanta Hawks,2009,0-3 ft,0.267
Atlanta Hawks,2009,3-10 ft,0.16
Atlanta Hawks,2009,10-16 ft,0.101
Atlanta Hawks,2009,Over 16 ft,0.219
Atlanta Hawks,2009,3P Corner,0.072105
Atlanta Hawks,2009,3P Top,0.180895
Atlanta Hawks,2010,0-3 ft,0.296
Atlanta Hawks,2010,3-10 ft,0.167
Atlanta Hawks,2010,10-16 ft,0.087
Atlanta Hawks,2010,Over 16 ft,0.237
Atlanta Hawks,2010,3P Corner,0.083032
Atlanta Hawks,2010,3P Top,0.130968
Atlanta Hawks,2011,0-3 ft,0.233
Atlanta Hawks,2011,3-10 ft,0.175
Atlanta Hawks,2011,10-16 ft,0.097
Atlanta Hawks,2011,Over 16 ft,0.274
Atlanta Hawks,2011,3P Corner,0.077478
Atlanta Hawks,2011,3P Top,0.144522
Atlanta Hawks,2012,0-3 ft,0.277
Atlanta Hawks,2012,3-10 ft,0.153
Atlanta Hawks,2012,10-16 ft,0.074
Atlanta Hawks,2012,Over 16 ft,0.247
Atlanta Hawks,2012,3P Corner,0.08466
Atlanta Hawks,2012,3P Top,0.16434
Atlanta Hawks,2013,0-3 ft,0.281
Atlanta Hawks,2013,3-10 ft,0.152
Atlanta Hawks,2013,10-16 ft,0.073
Atlanta Hawks,2013,Over 16 ft,0.208
Atlanta Hawks,2013,3P Corner,0.075504
Atlanta Hawks,2013,3P Top,0.210496
Atlanta Hawks,2014,0-3 ft,0.263
Atlanta Hawks,2014,3-10 ft,0.174
Atlanta Hawks,2014,10-16 ft,0.102
Atlanta Hawks,2014,Over 16 ft,0.145
Atlanta Hawks,2014,3P Corner,0.084688
Atlanta Hawks,2014,3P Top,0.231312
Atlanta Hawks,2015,0-3 ft,0.29
Atlanta Hawks,2015,3-10 ft,0.158
Atlanta Hawks,2015,10-16 ft,0.08
Atlanta Hawks,2015,Over 16 ft,0.151
Atlanta Hawks,2015,3P Corner,0.088275
Atlanta Hawks,2015,3P Top,0.232725
Atlanta Hawks,2016,0-3 ft,0.326
Atlanta Hawks,2016,3-10 ft,0.121
Atlanta Hawks,2016,10-16 ft,0.078
Atlanta Hawks,2016,Over 16 ft,0.138
Atlanta Hawks,2016,3P Corner,0.081984
Atlanta Hawks,2016,3P Top,0.254016
Atlanta Hawks,2017,0-3 ft,0.331
Atlanta Hawks,2017,3-10 ft,0.117
Atlanta Hawks,2017,10-16 ft,0.092
Atlanta Hawks,2017,Over 16 ft,0.151
Atlanta Hawks,2017,3P Corner,0.072306
Atlanta Hawks,2017,3P Top,0.236694
Atlanta Hawks,2018,0-3 ft,0.279
Atlanta Hawks,2018,3-10 ft,0.131
Atlanta Hawks,2018,10-16 ft,0.105
Atlanta Hawks,2018,Over 16 ft,0.122
Atlanta Hawks,2018,3P Corner,0.088209
Atlanta Hawks,2018,3P Top,0.274791
Boston Celtics,2001,0-3 ft,0.287
Boston Celtics,2001,3-10 ft,0.161
Boston Celtics,2001,10-16 ft,0.121
Boston Celtics,2001,Over 16 ft,0.18
Boston Celtics,2001,3P Corner,0.065772
Boston Celtics,2001,3P Top,0.186228
Boston Celtics,2002,0-3 ft,0.293
Boston Celtics,2002,3-10 ft,0.124
Boston Celtics,2002,10-16 ft,0.111
Boston Celtics,2002,Over 16 ft,0.182
Boston Celtics,2002,3P Corner,0.061557
Boston Celtics,2002,3P Top,0.227443
Boston Celtics,2003,0-3 ft,0.268
Boston Celtics,2003,3-10 ft,0.14
Boston Celtics,2003,10-16 ft,0.109
