Team,year,Distance,Frequency
Chicago Bulls,2017,3P Corner,0.073984
Chicago Bulls,2017,3P Top,0.182016
Chicago Bulls,2018,0-3 ft,0.254
Chicago Bulls,2018,3-10 ft,0.165
Chicago Bulls,2018,10-16 ft,0.095
Chicago Bulls,2018,Over 16 ft,0.135
Chicago Bulls,2018,3P Corner,0.0644
Chicago Bulls,2018,3P Top,0.2856
Cleveland Cavaliers,2001,0-3 ft,0.28
Cleveland Cavaliers,2001,3-10 ft,0.201
Cleveland Cavaliers,2001,10-16 ft,0.19
Cleveland Cavaliers,2001,Over 16 ft,0.228
Cleveland Cavaliers,2001,3P Corner,0.034138
Cleveland Cavaliers,2001,3P Top,0.066862
Cleveland Cavaliers,2002,0-3 ft,0.255
Cleveland Cavaliers,2002,3-10 ft,0.141
Cleveland Cavaliers,2002,10-16 ft,0.206
Cleveland Cavaliers,2002,Over 16 ft,0.242
Cleveland Cavaliers,2002,3P Corner,0.037128
Cleveland Cavaliers,2002,3P Top,0.118872
Cleveland Cavaliers,2003,0-3 ft,0.303
Cleveland Cavaliers,2003,3-10 ft,0.159
Cleveland Cavaliers,2003,10-16 ft,0.188
Cleveland Cavaliers,2003,Over 16 ft,0.216
Cleveland Cavaliers,2003,3P Corner,0.044555
Cleveland Cavaliers,2003,3P Top,0.088445
Cleveland Cavaliers,2004,0-3 ft,0.318
Cleveland Cavaliers,2004,3-10 ft,0.173
Cleveland Cavaliers,2004,10-16 ft,0.196
Cleveland Cavaliers,2004,Over 16 ft,0.197
Cleveland Cavaliers,2004,3P Corner,0.03364
Cleveland Cavaliers,2004,3P Top,0.08236
Cleveland Cavaliers,2005,0-3 ft,0.312
Cleveland Cavaliers,2005,3-10 ft,0.161
Cleveland Cavaliers,2005,10-16 ft,0.159
Cleveland Cavaliers,2005,Over 16 ft,0.233
Cleveland Cavaliers,2005,3P Corner,0.03942
Cleveland Cavaliers,2005,3P Top,0.09558
Cleveland Cavaliers,2006,0-3 ft,0.351
Cleveland Cavaliers,2006,3-10 ft,0.121
Cleveland Cavaliers,2006,10-16 ft,0.103
Cleveland Cavaliers,2006,Over 16 ft,0.198
Cleveland Cavaliers,2006,3P Corner,0.08322
Cleveland Cavaliers,2006,3P Top,0.14478
Cleveland Cavaliers,2007,0-3 ft,0.323
Cleveland Cavaliers,2007,3-10 ft,0.129
Cleveland Cavaliers,2007,10-16 ft,0.123
Cleveland Cavaliers,2007,Over 16 ft,0.214
Cleveland Cavaliers,2007,3P Corner,0.072162
Cleveland Cavaliers,2007,3P Top,0.138838
Cleveland Cavaliers,2008,0-3 ft,0.321
Cleveland Cavaliers,2008,3-10 ft,0.105
Cleveland Cavaliers,2008,10-16 ft,0.106
Cleveland Cavaliers,2008,Over 16 ft,0.238
Cleveland Cavaliers,2008,3P Corner,0.079695
Cleveland Cavaliers,2008,3P Top,0.151305
Cleveland Cavaliers,2009,0-3 ft,0.278
Cleveland Cavaliers,2009,3-10 ft,0.101
Cleveland Cavaliers,2009,10-16 ft,0.101
Cleveland Cavaliers,2009,Over 16 ft,0.262
Cleveland Cavaliers,2009,3P Corner,0.090909
Cleveland Cavaliers,2009,3P Top,0.168091
Cleveland Cavaliers,2010,0-3 ft,0.339
Cleveland Cavaliers,2010,3-10 ft,0.119
Cleveland Cavaliers,2010,10-16 ft,0.08
Cleveland Cavaliers,2010,Over 16 ft,0.214
Cleveland Cavaliers,2010,3P Corner,0.081592
Cleveland Cavaliers,2010,3P Top,0.166408
Cleveland Cavaliers,2011,0-3 ft,0.296
Cleveland Cavaliers,2011,3-10 ft,0.179
Cleveland Cavaliers,2011,10-16 ft,0.097
Cleveland Cavaliers,2011,Over 16 ft,0.203
Cleveland Cavaliers,2011,3P Corner,0.052416
Cleveland Cavaliers,2011,3P Top,0.171584
Cleveland Cavaliers,2012,0-3 ft,0.326
Cleveland Cavaliers,2012,3-10 ft,0.188
Cleveland Cavaliers,2012,10-16 ft,0.081
Cleveland Cavaliers,2012,Over 16 ft,0.167
Cleveland Cavaliers,2012,3P Corner,0.056168
Cleveland Cavaliers,2012,3P Top,0.181832
Cleveland Cavaliers,2013,0-3 ft,0.294
Cleveland Cavaliers,2013,3-10 ft,0.174
Cleveland Cavaliers,2013,10-16 ft,0.116
Cleveland Cavaliers,2013,Over 16 ft,0.188
Cleveland Cavaliers,2013,3P Corner,0.048319
Cleveland Cavaliers,2013,3P Top,0.180681
Cleveland Cavaliers,2014,0-3 ft,0.269
Cleveland Cavaliers,2014,3-10 ft,0.17
Cleveland Cavaliers,2014,10-16 ft,0.128
Cleveland Cavaliers,2014,Over 16 ft,0.197
Cleveland Cavaliers,2014,3P Corner,0.059472
Cleveland Cavaliers,2014,3P Top,0.176528
Cleveland Cavaliers,2015,0-3 ft,0.295
Cleveland Cavaliers,2015,3-10 ft,0.156
Cleveland Cavaliers,2015,10-16 ft,0.092
Cleveland Cavaliers,2015,Over 16 ft,0.124
Cleveland Cavaliers,2015,3P Corner,0.096526
Cleveland Cavaliers,2015,3P Top,0.237474
Cleveland Cavaliers,2016,0-3 ft,0.28
Cleveland Cavaliers,2016,3-10 ft,0.149
Cleveland Cavaliers,2016,10-16 ft,0.095
Cleveland Cavaliers,2016,Over 16 ft,0.125
Cleveland Cavaliers,2016,3P Corner,0.09152
Cleveland Cavaliers,2016,3P Top,0.26048
Cleveland Cavaliers,2017,0-3 ft,0.284
Cleveland Cavaliers,2017,3-10 ft,0.11
Cleveland Cavaliers,2017,10-16 ft,0.092
Cleveland Cavaliers,2017,Over 16 ft,0.115
Cleveland Cavaliers,2017,3P Corner,0.116907
Cleveland Cavaliers,2017,3P Top,0.282093
Cleveland Cavaliers,2018,0-3 ft,0.297
Cleveland Cavaliers,2018,3-10 ft,0.113
Cleveland Cavaliers,2018,10-16 ft,0.092
Cleveland Cavaliers,2018,Over 16 ft,0.119
Cleveland Cavaliers,2018,3P Corner,0.095508
Cleveland Cavaliers,2018,3P Top,0.283492
Dallas Mavericks,2001,0-3 ft,0.257
Dallas Mavericks,2001,3-10 ft,0.165
Dallas Mavericks,2001,10-16 ft,0.166
Dallas Mavericks,2001,Over 16 ft,0.21
Dallas Mavericks,2001,3P Corner,0.047268
Dallas Mavericks,2001,3P Top,0.154732
Dallas Mavericks,2002,0-3 ft,0.281
Dallas Mavericks,2002,3-10 ft,0.121
Dallas Mavericks,2002,10-16 ft,0.146
Dallas Mavericks,2002,Over 16 ft,0.214
Dallas Mavericks,2002,3P Corner,0.03792
Dallas Mavericks,2002,3P Top,0.19908
Dallas Mavericks,2003,0-3 ft,0.253
Dallas Mavericks,2003,3-10 ft,0.131
Dallas Mavericks,2003,10-16 ft,0.136
Dallas Mavericks,2003,Over 16 ft,0.241
Dallas Mavericks,2003,3P Corner,0.057838
Dallas Mavericks,2003,3P Top,0.181162
Dallas Mavericks,2004,0-3 ft,0.29
Dallas Mavericks,2004,3-10 ft,0.159
Dallas Mavericks,2004,10-16 ft,0.129
Dallas Mavericks,2004,Over 16 ft,0.219
Dallas Mavericks,2004,3P Corner,0.033768
Dallas Mavericks,2004,3P Top,0.167232
Dallas Mavericks,2005,0-3 ft,0.287
Dallas Mavericks,2005,3-10 ft,0.132
Dallas Mavericks,2005,10-16 ft,0.148
Dallas Mavericks,2005,Over 16 ft,0.243
Dallas Mavericks,2005,3P Corner,0.04598
Dallas Mavericks,2005,3P Top,0.14402
Dallas Mavericks,2006,0-3 ft,0.287
Dallas Mavericks,2006,3-10 ft,0.143
Dallas Mavericks,2006,10-16 ft,0.178
Dallas Mavericks,2006,Over 16 ft,0.218
Dallas Mavericks,2006,3P Corner,0.0406
Dallas Mavericks,2006,3P Top,0.1344
Dallas Mavericks,2007,0-3 ft,0.269
Dallas Mavericks,2007,3-10 ft,0.104
Dallas Mavericks,2007,10-16 ft,0.163
Dallas Mavericks,2007,Over 16 ft,0.246
Dallas Mavericks,2007,3P Corner,0.071504
Dallas Mavericks,2007,3P Top,0.146496
Dallas Mavericks,2008,0-3 ft,0.264
Dallas Mavericks,2008,3-10 ft,0.108
Dallas Mavericks,2008,10-16 ft,0.17
Dallas Mavericks,2008,Over 16 ft,0.243
Dallas Mavericks,2008,3P Corner,0.059985
Dallas Mavericks,2008,3P Top,0.155015
Dallas Mavericks,2009,0-3 ft,0.266
Dallas Mavericks,2009,3-10 ft,0.089
Dallas Mavericks,2009,10-16 ft,0.162
Dallas Mavericks,2009,Over 16 ft,0.242
Dallas Mavericks,2009,3P Corner,0.067962
Dallas Mavericks,2009,3P Top,0.173038
Dallas Mavericks,2010,0-3 ft,0.282
Dallas Mavericks,2010,3-10 ft,0.127
Dallas Mavericks,2010,10-16 ft,0.142
Dallas Mavericks,2010,Over 16 ft,0.229
Dallas Mavericks,2010,3P Corner,0.049062
Dallas Mavericks,2010,3P Top,0.172938
Dallas Mavericks,2011,0-3 ft,0.24
Dallas Mavericks,2011,3-10 ft,0.162
Dallas Mavericks,2011,10-16 ft,0.125
Dallas Mavericks,2011,Over 16 ft,0.199
Dallas Mavericks,2011,3P Corner,0.080282
Dallas Mavericks,2011,3P Top,0.193718
Dallas Mavericks,2012,0-3 ft,0.24
Dallas Mavericks,2012,3-10 ft,0.167
Dallas Mavericks,2012,10-16 ft,0.148
Dallas Mavericks,2012,Over 16 ft,0.175
Dallas Mavericks,2012,3P Corner,0.061788
Dallas Mavericks,2012,3P Top,0.209212
Dallas Mavericks,2013,0-3 ft,0.242
Dallas Mavericks,2013,3-10 ft,0.179
Dallas Mavericks,2013,10-16 ft,0.16
Dallas Mavericks,2013,Over 16 ft,0.182
Dallas Mavericks,2013,3P Corner,0.054752
Dallas Mavericks,2013,3P Top,0.181248
Dallas Mavericks,2014,0-3 ft,0.262
Dallas Mavericks,2014,3-10 ft,0.156
Dallas Mavericks,2014,10-16 ft,0.135
Dallas Mavericks,2014,Over 16 ft,0.173
Dallas Mavericks,2014,3P Corner,0.054526
Dallas Mavericks,2014,3P Top,0.219474
Dallas Mavericks,2015,0-3 ft,0.287
Dallas Mavericks,2015,3-10 ft,0.142
Dallas Mavericks,2015,10-16 ft,0.094
Dallas Mavericks,2015,Over 16 ft,0.182
Dallas Mavericks,2015,3P Corner,0.067784
Dallas Mavericks,2015,3P Top,0.228216
Dallas Mavericks,2016,0-3 ft,0.243
Dallas Mavericks,2016,3-10 ft,0.149
Dallas Mavericks,2016,10-16 ft,0.111
Dallas Mavericks,2016,Over 16 ft,0.159
Dallas Mavericks,2016,3P Corner,0.072207
Dallas Mavericks,2016,3P Top,0.266793
Dallas Mavericks,2017,0-3 ft,0.201
Dallas Mavericks,2017,3-10 ft,0.127
Dallas Mavericks,2017,10-16 ft,0.116
Dallas Mavericks,2017,Over 16 ft,0.189
Dallas Mavericks,2017,3P Corner,0.071736
Dallas Mavericks,2017,3P Top,0.294264
Dallas Mavericks,2018,0-3 ft,0.241
Dallas Mavericks,2018,3-10 ft,0.135
Dallas Mavericks,2018,10-16 ft,0.105
Dallas Mavericks,2018,Over 16 ft,0.137
Dallas Mavericks,2018,3P Corner,0.064558
Dallas Mavericks,2018,3P Top,0.317442
Denver Nuggets,2001,0-3 ft,0.295
Denver Nuggets,2001,3-10 ft,0.137
Denver Nuggets,2001,10-16 ft,0.138
Denver Nuggets,2001,Over 16 ft,0.221
Denver Nuggets,2001,3P Corner,0.06195
Denver Nuggets,2001,3P Top,0.14805
Denver Nuggets,2002,0-3 ft,0.3
Denver Nuggets,2002,3-10 ft,0.147
Denver Nuggets,2002,10-16 ft,0.121
Denver Nuggets,2002,Over 16 ft,0.245
Denver Nuggets,2002,3P Corner,0.057222
Denver Nuggets,2002,3P Top,0.129778
Denver Nuggets,2003,0-3 ft,0.297
Denver Nuggets,2003,3-10 ft,0.171
Denver Nuggets,2003,10-16 ft,0.135
Denver Nuggets,2003,Over 16 ft,0.272
Denver Nuggets,2003,3P Corner,0.030492
Denver Nuggets,2003,3P Top,0.095508
Denver Nuggets,2004,0-3 ft,0.345
Denver Nuggets,2004,3-10 ft,0.111
Denver Nuggets,2004,10-16 ft,0.127
Denver Nuggets,2004,Over 16 ft,0.272
Denver Nuggets,2004,3P Corner,0.028032
Denver Nuggets,2004,3P Top,0.117968
Denver Nuggets,2005,0-3 ft,0.364
Denver Nuggets,2005,3-10 ft,0.102
Denver Nuggets,2005,10-16 ft,0.117
Denver Nuggets,2005,Over 16 ft,0.274
Denver Nuggets,2005,3P Corner,0.043168
Denver Nuggets,2005,3P Top,0.098832
Denver Nuggets,2006,0-3 ft,0.367
Denver Nuggets,2006,3-10 ft,0.088
Denver Nuggets,2006,10-16 ft,0.103
Denver Nuggets,2006,Over 16 ft,0.28
Denver Nuggets,2006,3P Corner,0.048783
Denver Nuggets,2006,3P Top,0.112217
Denver Nuggets,2007,0-3 ft,0.37
Denver Nuggets,2007,3-10 ft,0.104
Denver Nuggets,2007,10-16 ft,0.1
Denver Nuggets,2007,Over 16 ft,0.214
Denver Nuggets,2007,3P Corner,0.053212
Denver Nuggets,2007,3P Top,0.158788
Denver Nuggets,2008,0-3 ft,0.362
Denver Nuggets,2008,3-10 ft,0.102
Denver Nuggets,2008,10-16 ft,0.1
Denver Nuggets,2008,Over 16 ft,0.208
Denver Nuggets,2008,3P Corner,0.054948
Denver Nuggets,2008,3P Top,0.173052
Denver Nuggets,2009,0-3 ft,0.376
Denver Nuggets,2009,3-10 ft,0.1
Denver Nuggets,2009,10-16 ft,0.081
Denver Nuggets,2009,Over 16 ft,0.216
Denver Nuggets,2009,3P Corner,0.043811
Denver Nuggets,2009,3P Top,0.183189
Denver Nuggets,2010,0-3 ft,0.351
Denver Nuggets,2010,3-10 ft,0.11
Denver Nuggets,2010,10-16 ft,0.094
Denver Nuggets,2010,Over 16 ft,0.218
Denver Nuggets,2010,3P Corner,0.048578
Denver Nuggets,2010,3P Top,0.178422
Denver Nuggets,2011,0-3 ft,0.349
Denver Nuggets,2011,3-10 ft,0.133
Denver Nuggets,2011,10-16 ft,0.074
Denver Nuggets,2011,Over 16 ft,0.186
Denver Nuggets,2011,3P Corner,0.073788
Denver Nuggets,2011,3P Top,0.184212
Denver Nuggets,2012,0-3 ft,0.404
Denver Nuggets,2012,3-10 ft,0.151
Denver Nuggets,2012,10-16 ft,0.077
Denver Nuggets,2012,Over 16 ft,0.125
Denver Nuggets,2012,3P Corner,0.076059
Denver Nuggets,2012,3P Top,0.166941
Denver Nuggets,2013,0-3 ft,0.415
Denver Nuggets,2013,3-10 ft,0.172
Denver Nuggets,2013,10-16 ft,0.08
Denver Nuggets,2013,Over 16 ft,0.115
Denver Nuggets,2013,3P Corner,0.074865
Denver Nuggets,2013,3P Top,0.142135
Denver Nuggets,2014,0-3 ft,0.309
Denver Nuggets,2014,3-10 ft,0.182
Denver Nuggets,2014,10-16 ft,0.08
Denver Nuggets,2014,Over 16 ft,0.15
Denver Nuggets,2014,3P Corner,0.06672
Denver Nuggets,2014,3P Top,0.21128
Denver Nuggets,2015,0-3 ft,0.297
Denver Nuggets,2015,3-10 ft,0.177
Denver Nuggets,2015,10-16 ft,0.09
Denver Nuggets,2015,Over 16 ft,0.151
Denver Nuggets,2015,3P Corner,0.067024
Denver Nuggets,2015,3P Top,0.216976
Denver Nuggets,2016,0-3 ft,0.342
Denver Nuggets,2016,3-10 ft,0.158
Denver Nuggets,2016,10-16 ft,0.08
Denver Nuggets,2016,Over 16 ft,0.142
Denver Nuggets,2016,3P Corner,0.05817
Denver Nuggets,2016,3P Top,0.21883
Denver Nuggets,2017,0-3 ft,0.33
Denver Nuggets,2017,3-10 ft,0.156
Denver Nuggets,2017,10-16 ft,0.078
Denver Nuggets,2017,Over 16 ft,0.108
Denver Nuggets,2017,3P Corner,0.063168
Denver Nuggets,2017,3P Top,0.265832
Denver Nuggets,2018,0-3 ft,0.275
Denver Nuggets,2018,3-10 ft,0.204
Denver Nuggets,2018,10-16 ft,0.09
Denver Nuggets,2018,Over 16 ft,0.074
Denver Nuggets,2018,3P Corner,0.059619
Denver Nuggets,2018,3P Top,0.297381
Detroit Pistons,2001,0-3 ft,0.295
Detroit Pistons,2001,3-10 ft,0.109
Detroit Pistons,2001,10-16 ft,0.15
Detroit Pistons,2001,Over 16 ft,0.284
Detroit Pistons,2001,3P Corner,0.044874
Detroit Pistons,2001,3P Top,0.117126
Detroit Pistons,2002,0-3 ft,0.283
Detroit Pistons,2002,3-10 ft,0.124
Detroit Pistons,2002,10-16 ft,0.146
Detroit Pistons,2002,Over 16 ft,0.207
Detroit Pistons,2002,3P Corner,0.07344
Detroit Pistons,2002,3P Top,0.16656
Detroit Pistons,2003,0-3 ft,0.264
Detroit Pistons,2003,3-10 ft,0.135
Detroit Pistons,2003,10-16 ft,0.145
Detroit Pistons,2003,Over 16 ft,0.219
Detroit Pistons,2003,3P Corner,0.057117
Detroit Pistons,2003,3P Top,0.179883
Detroit Pistons,2004,0-3 ft,0.34
Detroit Pistons,2004,3-10 ft,0.153
Detroit Pistons,2004,10-16 ft,0.175
Detroit Pistons,2004,Over 16 ft,0.179
Detroit Pistons,2004,3P Corner,0.039321
Detroit Pistons,2004,3P Top,0.113679
Detroit Pistons,2005,0-3 ft,0.321
Detroit Pistons,2005,3-10 ft,0.117
Detroit Pistons,2005,10-16 ft,0.183
Detroit Pistons,2005,Over 16 ft,0.215
Detroit Pistons,2005,3P Corner,0.044772
Detroit Pistons,2005,3P Top,0.119228
Detroit Pistons,2006,0-3 ft,0.269
Detroit Pistons,2006,3-10 ft,0.086
Detroit Pistons,2006,10-16 ft,0.174
Detroit Pistons,2006,Over 16 ft,0.249
Detroit Pistons,2006,3P Corner,0.064753
Detroit Pistons,2006,3P Top,0.156247
Detroit Pistons,2007,0-3 ft,0.291
Detroit Pistons,2007,3-10 ft,0.11
Detroit Pistons,2007,10-16 ft,0.182
Detroit Pistons,2007,Over 16 ft,0.216
Detroit Pistons,2007,3P Corner,0.063918
Detroit Pistons,2007,3P Top,0.137082
Detroit Pistons,2008,0-3 ft,0.265
Detroit Pistons,2008,3-10 ft,0.085
Detroit Pistons,2008,10-16 ft,0.153
Detroit Pistons,2008,Over 16 ft,0.295
Detroit Pistons,2008,3P Corner,0.052577
Detroit Pistons,2008,3P Top,0.150423
Detroit Pistons,2009,0-3 ft,0.284
Detroit Pistons,2009,3-10 ft,0.091
Detroit Pistons,2009,10-16 ft,0.156
Detroit Pistons,2009,Over 16 ft,0.304
Detroit Pistons,2009,3P Corner,0.0627
Detroit Pistons,2009,3P Top,0.1023
Detroit Pistons,2010,0-3 ft,0.319
Detroit Pistons,2010,3-10 ft,0.125
Detroit Pistons,2010,10-16 ft,0.145
Detroit Pistons,2010,Over 16 ft,0.23
Detroit Pistons,2010,3P Corner,0.05796
Detroit Pistons,2010,3P Top,0.12204
Detroit Pistons,2011,0-3 ft,0.307
Detroit Pistons,2011,3-10 ft,0.15
Detroit Pistons,2011,10-16 ft,0.132
Detroit Pistons,2011,Over 16 ft,0.222
Detroit Pistons,2011,3P Corner,0.068985
Detroit Pistons,2011,3P Top,0.120015
Detroit Pistons,2012,0-3 ft,0.329
Detroit Pistons,2012,3-10 ft,0.172
Detroit Pistons,2012,10-16 ft,0.107
Detroit Pistons,2012,Over 16 ft,0.216
Detroit Pistons,2012,3P Corner,0.041825
Detroit Pistons,2012,3P Top,0.133175
Detroit Pistons,2013,0-3 ft,0.37
Detroit Pistons,2013,3-10 ft,0.172
Detroit Pistons,2013,10-16 ft,0.072
Detroit Pistons,2013,Over 16 ft,0.169
Detroit Pistons,2013,3P Corner,0.057939
Detroit Pistons,2013,3P Top,0.159061
Detroit Pistons,2014,0-3 ft,0.356
Detroit Pistons,2014,3-10 ft,0.197
Detroit Pistons,2014,10-16 ft,0.068
Detroit Pistons,2014,Over 16 ft,0.157
Detroit Pistons,2014,3P Corner,0.055722
Detroit Pistons,2014,3P Top,0.166278
Detroit Pistons,2015,0-3 ft,0.323
Detroit Pistons,2015,3-10 ft,0.192
Detroit Pistons,2015,10-16 ft,0.065
Detroit Pistons,2015,Over 16 ft,0.128
Detroit Pistons,2015,3P Corner,0.0696
Detroit Pistons,2015,3P Top,0.2204
Detroit Pistons,2016,0-3 ft,0.294
Detroit Pistons,2016,3-10 ft,0.184
Detroit Pistons,2016,10-16 ft,0.104
Detroit Pistons,2016,Over 16 ft,0.116
Detroit Pistons,2016,3P Corner,0.076962
Detroit Pistons,2016,3P Top,0.226038
Detroit Pistons,2017,0-3 ft,0.25
Detroit Pistons,2017,3-10 ft,0.189
Detroit Pistons,2017,10-16 ft,0.141
Detroit Pistons,2017,Over 16 ft,0.157
Detroit Pistons,2017,3P Corner,0.053389
Detroit Pistons,2017,3P Top,0.209611
Detroit Pistons,2018,0-3 ft,0.26
Detroit Pistons,2018,3-10 ft,0.185
Detroit Pistons,2018,10-16 ft,0.107
Detroit Pistons,2018,Over 16 ft,0.116
Detroit Pistons,2018,3P Corner,0.075591
Detroit Pistons,2018,3P Top,0.257409
Golden State Warriors,2001,0-3 ft,0.24
Golden State Warriors,2001,3-10 ft,0.226
Golden State Warriors,2001,10-16 ft,0.159
Golden State Warriors,2001,Over 16 ft,0.241
Golden State Warriors,2001,3P Corner,0.026398
Golden State Warriors,2001,3P Top,0.107602
Golden State Warriors,2002,0-3 ft,0.297
Golden State Warriors,2002,3-10 ft,0.235
Golden State Warriors,2002,10-16 ft,0.111
Golden State Warriors,2002,Over 16 ft,0.215
Golden State Warriors,2002,3P Corner,0.027406
Golden State Warriors,2002,3P Top,0.114594
Golden State Warriors,2003,0-3 ft,0.271
Golden State Warriors,2003,3-10 ft,0.207
Golden State Warriors,2003,10-16 ft,0.123
Golden State Warriors,2003,Over 16 ft,0.222
Golden State Warriors,2003,3P Corner,0.038626
Golden State Warriors,2003,3P Top,0.139374
Golden State Warriors,2004,0-3 ft,0.272
Golden State Warriors,2004,3-10 ft,0.196
Golden State Warriors,2004,10-16 ft,0.117
Golden State Warriors,2004,Over 16 ft,0.218
Golden State Warriors,2004,3P Corner,0.050038
Golden State Warriors,2004,3P Top,0.146962
Golden State Warriors,2005,0-3 ft,0.254
Golden State Warriors,2005,3-10 ft,0.155
Golden State Warriors,2005,10-16 ft,0.092
Golden State Warriors,2005,Over 16 ft,0.248
Golden State Warriors,2005,3P Corner,0.061992
Golden State Warriors,2005,3P Top,0.190008
Golden State Warriors,2006,0-3 ft,0.283
Golden State Warriors,2006,3-10 ft,0.152
Golden State Warriors,2006,10-16 ft,0.083
Golden State Warriors,2006,Over 16 ft,0.211
Golden State Warriors,2006,3P Corner,0.07209
Golden State Warriors,2006,3P Top,0.19791
Golden State Warriors,2007,0-3 ft,0.338
Golden State Warriors,2007,3-10 ft,0.135
Golden State Warriors,2007,10-16 ft,0.077
Golden State Warriors,2007,Over 16 ft,0.172
Golden State Warriors,2007,3P Corner,0.094581
Golden State Warriors,2007,3P Top,0.184419
Golden State Warriors,2008,0-3 ft,0.345
Golden State Warriors,2008,3-10 ft,0.121
Golden State Warriors,2008,10-16 ft,0.068
Golden State Warriors,2008,Over 16 ft,0.171
Golden State Warriors,2008,3P Corner,0.072275
Golden State Warriors,2008,3P Top,0.222725
Golden State Warriors,2009,0-3 ft,0.308
Golden State Warriors,2009,3-10 ft,0.138
Golden State Warriors,2009,10-16 ft,0.092
Golden State Warriors,2009,Over 16 ft,0.252
Golden State Warriors,2009,3P Corner,0.046816
Golden State Warriors,2009,3P Top,0.162184
Golden State Warriors,2010,0-3 ft,0.298
Golden State Warriors,2010,3-10 ft,0.113
Golden State Warriors,2010,10-16 ft,0.095
Golden State Warriors,2010,Over 16 ft,0.256
Golden State Warriors,2010,3P Corner,0.060214
Golden State Warriors,2010,3P Top,0.177786
Golden State Warriors,2011,0-3 ft,0.276
Golden State Warriors,2011,3-10 ft,0.169
Golden State Warriors,2011,10-16 ft,0.093
Golden State Warriors,2011,Over 16 ft,0.214
Golden State Warriors,2011,3P Corner,0.07316
Golden State Warriors,2011,3P Top,0.17484
Golden State Warriors,2012,0-3 ft,0.259
Golden State Warriors,2012,3-10 ft,0.166
Golden State Warriors,2012,10-16 ft,0.091
Golden State Warriors,2012,Over 16 ft,0.236
Golden State Warriors,2012,3P Corner,0.067952
Golden State Warriors,2012,3P Top,0.180048
Golden State Warriors,2013,0-3 ft,0.242
Golden State Warriors,2013,3-10 ft,0.173
Golden State Warriors,2013,10-16 ft,0.118
Golden State Warriors,2013,Over 16 ft,0.229
Golden State Warriors,2013,3P Corner,0.054014
Golden State Warriors,2013,3P Top,0.184986
Golden State Warriors,2014,0-3 ft,0.264
Golden State Warriors,2014,3-10 ft,0.176
Golden State Warriors,2014,10-16 ft,0.1
Golden State Warriors,2014,Over 16 ft,0.169
Golden State Warriors,2014,3P Corner,0.06984
Golden State Warriors,2014,3P Top,0.22116
Golden State Warriors,2015,0-3 ft,0.286
Golden State Warriors,2015,3-10 ft,0.145
Golden State Warriors,2015,10-16 ft,0.104
Golden State Warriors,2015,Over 16 ft,0.154
Golden State Warriors,2015,3P Corner,0.068731
Golden State Warriors,2015,3P Top,0.242269
Golden State Warriors,2016,0-3 ft,0.301
Golden State Warriors,2016,3-10 ft,0.125
Golden State Warriors,2016,10-16 ft,0.093
Golden State Warriors,2016,Over 16 ft,0.119
Golden State Warriors,2016,3P Corner,0.082898
Golden State Warriors,2016,3P Top,0.279102
Golden State Warriors,2017,0-3 ft,0.303
Golden State Warriors,2017,3-10 ft,0.102
Golden State Warriors,2017,10-16 ft,0.107
Golden State Warriors,2017,Over 16 ft,0.129
Golden State Warriors,2017,3P Corner,0.074672
Golden State Warriors,2017,3P Top,0.284328
Golden State Warriors,2018,0-3 ft,0.267
Golden State Warriors,2018,3-10 ft,0.111
Golden State Warriors,2018,10-16 ft,0.139
Golden State Warriors,2018,Over 16 ft,0.144
Golden State Warriors,2018,3P Corner,0.053562
Golden State Warriors,2018,3P Top,0.285438
Houston Rockets,2001,0-3 ft,0.306
Houston Rockets,2001,3-10 ft,0.141
Houston Rockets,2001,10-16 ft,0.133
Houston Rockets,2001,Over 16 ft,0.204
Houston Rockets,2001,3P Corner,0.055118
Houston Rockets,2001,3P Top,0.161882
Houston Rockets,2002,0-3 ft,0.295
Houston Rockets,2002,3-10 ft,0.108
Houston Rockets,2002,10-16 ft,0.103
Houston Rockets,2002,Over 16 ft,0.271
Houston Rockets,2002,3P Corner,0.053743
Houston Rockets,2002,3P Top,0.169257
Houston Rockets,2003,0-3 ft,0.305
Houston Rockets,2003,3-10 ft,0.145
Houston Rockets,2003,10-16 ft,0.126
Houston Rockets,2003,Over 16 ft,0.229
Houston Rockets,2003,3P Corner,0.04704
Houston Rockets,2003,3P Top,0.14896
Houston Rockets,2004,0-3 ft,0.268
Houston Rockets,2004,3-10 ft,0.153
Houston Rockets,2004,10-16 ft,0.141
Houston Rockets,2004,Over 16 ft,0.211
Houston Rockets,2004,3P Corner,0.071505
Houston Rockets,2004,3P Top,0.155495
Houston Rockets,2005,0-3 ft,0.254
Houston Rockets,2005,3-10 ft,0.134
Houston Rockets,2005,10-16 ft,0.119
Houston Rockets,2005,Over 16 ft,0.256
Houston Rockets,2005,3P Corner,0.065649
Houston Rockets,2005,3P Top,0.171351
Houston Rockets,2006,0-3 ft,0.281
Houston Rockets,2006,3-10 ft,0.151
Houston Rockets,2006,10-16 ft,0.118
Houston Rockets,2006,Over 16 ft,0.225
Houston Rockets,2006,3P Corner,0.05876
Houston Rockets,2006,3P Top,0.16724
Houston Rockets,2007,0-3 ft,0.276
Houston Rockets,2007,3-10 ft,0.145
Houston Rockets,2007,10-16 ft,0.104
Houston Rockets,2007,Over 16 ft,0.185
Houston Rockets,2007,3P Corner,0.07801
Houston Rockets,2007,3P Top,0.21199
Houston Rockets,2008,0-3 ft,0.315
